2016/09/10 17:38:01 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Loading user properties from: /home/marco/software/apache-jmeter-3.0/bin/user.properties 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Loading system properties from: /home/marco/software/apache-jmeter-3.0/bin/system.properties 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: java.version=1.8.0_91 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: os.name=Linux 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: os.arch=amd64 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: os.version=3.16.0-4-amd64 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Max memory     =514850816 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Available Processors =4 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: JMeterHome=/home/marco/software/apache-jmeter-3.0 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: user.dir  =/home/marco/git/scalability-rest 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: PWD       =/home/marco/git/scalability-rest 
2016/09/10 17:38:02 INFO  - jmeter.JMeter: IP: 192.168.25.111 Name: spock FullName: spock 
2016/09/10 17:38:03 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform, System] 
2016/09/10 17:38:03 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/09/10 17:38:06 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/09/10 17:38:06 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/09/10 17:38:08 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2016/09/10 17:38:10 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2016/09/10 17:38:10 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /home/marco/software/apache-jmeter-3.0/bin/proxyserver.jks 
2016/09/10 17:38:11 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2016/09/10 17:38:11 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2016/09/10 17:38:11 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.DistributionGraphVisualizer 
2016/09/10 17:38:11 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/09/10 17:38:11 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2016/09/10 17:38:11 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2016/09/10 17:38:11 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2016/09/10 17:38:11 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.SplineVisualizer 
